date,symbol,security_name,premarket_pub,before_eps_date,after_eps_date,Adj Close,Close,Adj Close_pct_change,Close_pct_change,EPS Estimate,Reported EPS,Surprise(%),premarket
2023-01-25,ELV,"Elevance Health, Inc. Common Stock",1,2023-01-24,2023-01-25,495.5899963378906,495.5899963378906,0.0356725063030356,0.0356725063030356,5.19,5.23,0.008,1.0
2023-01-25,ETD,Ethan Allen Interiors Inc. Common Stock,0,2023-01-25,2023-01-26,26.600000381469727,26.600000381469727,-0.042476611807394,-0.042476611807394,0.89,1.1,0.2429,
2023-01-25,FLEX,Flex Ltd. - Ordinary Shares,0,2023-01-25,2023-01-26,23.93000030517578,23.93000030517578,-0.017651900427008,-0.017651900427008,0.6,0.62,0.0316,
2023-01-25,FRBA,First Bank  - Common Stock,0,2023-01-25,2023-01-26,13.229999542236328,13.229999542236328,-0.0163568974088207,-0.0163568974088207,0.54,0.46,-0.1413,
2023-01-25,GD,General Dynamics Corporation Common Stock,1,2023-01-24,2023-01-25,226.8800048828125,226.8800048828125,-0.0363983528414043,-0.0363983528414043,3.54,3.58,0.01,1.0
2023-01-25,GPI,"Group 1 Automotive, Inc. Common Stock",1,2023-01-24,2023-01-25,197.0800018310547,197.0800018310547,0.0211399058603869,0.0211399058603869,10.66,10.86,0.0185,1.0
2023-01-25,HBNC,"Horizon Bancorp, Inc. - Common Stock",0,2023-01-25,2023-01-26,14.6899995803833,14.6899995803833,-0.047341147360493,-0.047341147360493,0.51,0.48,-0.051,
2023-01-25,HES,Hess Corporation Common Stock,1,2023-01-24,2023-01-25,157.88999938964844,157.88999938964844,0.0260592304366622,0.0260592304366622,1.64,1.78,0.0853999999999999,1.0
2023-01-25,HESM,Hess Midstream LP Class A Share,1,2023-01-24,2023-01-25,30.850000381469727,30.850000381469727,-0.0310929574866128,-0.0310929574866128,0.54,0.49,-0.0989,1.0
2023-01-25,HXL,Hexcel Corporation Common Stock,0,2023-01-25,2023-01-26,67.7699966430664,67.7699966430664,0.0902509139225464,0.0902509139225464,0.32,0.4,0.2386,
2023-01-25,IBM,International Business Machines Corporation Common Stock,1,2023-01-24,2023-01-25,140.75999450683594,140.75999450683594,-0.0051594526679369,-0.0051594526679369,3.6,3.6,0.0007,1.0
2023-01-25,INBK,First Internet Bancorp - Common Stock,0,2023-01-25,2023-01-26,24.479999542236328,24.479999542236328,-0.0176565221793952,-0.0176565221793952,0.7,0.68,-0.0286,
2023-01-25,LEVI,Levi Strauss & Co Class A Common Stock,1,2023-01-24,2023-01-25,16.5,16.5,-0.0131578542098848,-0.0131578542098848,0.29,0.34,0.1627,1.0
2023-01-25,LVS,Las Vegas Sands Corp. Common Stock,0,2023-01-25,2023-01-26,58.369998931884766,58.369998931884766,0.060886921960183,0.060886921960183,-0.09,-0.19,-1.1635,
2023-01-25,MKTX,"MarketAxess Holdings, Inc. - Common Stock",1,2023-01-24,2023-01-25,363.2799987792969,363.2799987792969,0.1024520845205061,0.1024520845205061,1.56,1.58,0.0157,1.0
2023-01-25,MNRO,"Monro, Inc.  - Common Stock",1,2023-01-24,2023-01-25,49.97999954223633,49.97999954223633,0.111407564721762,0.111407564721762,0.43,0.43,-0.0062,1.0
2023-01-25,NOW,"ServiceNow, Inc. Common Stock",1,2023-01-24,2023-01-25,448.7699890136719,448.7699890136719,0.012088101998815,0.012088101998815,2.02,2.28,0.1272,1.0
2023-01-25,NSC,Norfolk Southern Corporation Common Stock,1,2023-01-24,2023-01-25,242.97000122070312,242.97000122070312,-0.0504533508510048,-0.0504533508510048,3.44,3.42,-0.0056999999999999,1.0
2023-01-25,PKG,Packaging Corporation of America Common Stock,0,2023-01-25,2023-01-26,138.6199951171875,138.6199951171875,0.0733256033158891,0.0733256033158891,2.23,2.35,0.0557,
2023-01-25,PLXS,Plexus Corp. - Common Stock,0,2023-01-25,2023-01-26,93.86000061035156,93.86000061035156,-0.1711409185713035,-0.1711409185713035,1.48,1.49,0.0094,
